station_code,name,lat,lon,type,nearest_town,warning_level,danger_level,frl,mwl,highest_flow_level
004-SHDSIM,RAMPUR_1,31.44311111111111,77.628,Base,,,,,,924.5
004-SWRDKOCHI,KUTTYADI,11.650833333333333,75.75833333333334,Base,KOZHIKODE,5.95,6.95,,,8.7
004-TDSURAT,Bharuch,21.7,73.0,Level,Bharuch,6.705,7.315,,,12.645
004-UBDDIB,Lemeking,28.372777777777777,93.55972222222222,Base,"",1108.745,1109.745,,,1107.17
004-UKDPUNE,Arjunwad (Seasonal),16.781944444444445,74.63222222222221,Level,miraj,539.2,540.7,,,544.345
004-UYDDEL,Tuini (Tons),30.939722222222223,77.84666666666666,Base,"",901.5,902.5,,,904.0
004-WGDNGP,Rajegaon,21.62388888888889,80.25333333333333,Base,"",,,,,284.23
0041-CDBNG,SINGASADANAPALLI,12.870000000000001,77.83611111111111,Base,,844.5,845.0,,,847.39
0042-CDBNG,THORESHETTAHALLI,12.668333333333333,77.04055555555556,Base,,625.0,626.0,,,627.1
0043-CDBNG,HOMMARAGALLI,12.114166666666666,76.46305555555556,Base,,667.0,668.0,,,670.68
0044-CDBNG,MUKKODLU,12.490555555555554,75.77222222222223,Base,,880.0,881.0,,,889.62
0045-CDBNG,KOKKEDODDY,12.296111111111111,77.44083333333333,Base,,373.0,374.0,,,374.25
0046-CDBNG,CHIKKARASINAKERE,12.510277777777778,77.03666666666666,Base,,616.0,617.0,,,618.075
0047-CDBNG,PUDUNAGARA,12.069444444444445,77.40944444444445,Base,,587.0,587.5,,,588.15
0048-CDBNG,CHIKKAMALUR,12.595555555555556,77.05666666666666,Base,,651.0,652.0,,,650.87
004NEID1,Kashithal,24.542500000225463,92.95333333334062,Base,"",,,,,
004NEID3,Boleng,28.308055555555555,94.96111111111111,Base,,233.0,234.0,,,218.2
004RAMES,RAMESHWAR,29.533055555555556,80.1,Base,,,,,,
005-CDBNG,BYALADAHALLI,14.43388888888889,75.77972222222222,Base,"",534.9,535.4,,,538.45
005-CDJAPR,Mahidpur,23.479999999999997,75.6375,Base,"",453.0,454.0,,,456.3
005-DDASL,Maithon Reservoir,23.779999999999998,86.81,Inflow,"",,150.876,150.88,151.79,151.83
005-ERDBWN,Govindpur (NH5 Road Bridge),21.547777777777778,86.91805555555555,Level,"",7.21,8.13,,,9.5
005-HGDDDN,Rudraprayag (C),30.275277777777777,78.965,Base,,623.7,624.7,,,628.2
005-JHELUM,Rammunshibagh (near Srinagar),34.06944444444445,74.83802777777777,Level,Srinagar,1585.48,1586.4,,,1589.0
005-LBDJPG,Dhubri,25.990991666666666,90.03248888888889,Level,"",27.62,28.62,,,30.37
005-LGD3BEH,LABHA,25.430555555555557,87.76833333333333,Base,,27.1,28.0,,,30.79
005-LGDHYD,Murthahandi (Journala),19.059444444444445,82.27583333333334,Base,,,,,,545.24
005-LKDHYD,Deongaon Bridge,17.17,76.33,Level,"",402.0,404.5,,,409.0
005-LYDAGRA,AURAIYA,26.428055555555556,79.47888888888889,Level,"",112.0,113.0,,,118.51
005-MAHGAND,Mahi Bajaj Sagar Dam,23.628611111111113,74.54722222222222,Inflow,"",,,281.5,281.5,
005-MBDGHY,DRF,26.775008333333332,91.69288611111112,Base,Rangia,,,,,144.98
005-MDBURLA,Korba,22.393333333333334,82.70277777777778,Base,,,,,,279.02
005-MDSIL,HAORA,23.82611111111111,91.27277777777778,Base,Agartala,10.0,10.7,,,12.42
005-MGD1LKN,Banbasa,28.995833333333334,80.10555555555555,Base,"",220.7,221.7,222.96,,223.3
005-MGD2LKN,Neemsar,27.34611111111111,80.47777777777777,Base,"",125.8,126.8,,,129.08
005-MGD3VNS,Mirzapur,25.1546,82.5296,Level,Mirzapur,76.724,77.724,,62.42,80.34
005-MGD4PTN,Samastipur,25.860833333333336,85.80499999999999,Level,"",45.02,46.02,,,49.38
005-MGD5PTN,Munger,25.37777777777778,86.4625,Level,munger,38.33,39.33,,,40.99
005-NDBHP,Pati,21.94361111111111,74.74472222222222,Base,,195.0,196.0,,,207.1
005-SHDSIM,PANDOA,31.267305555555556,77.288,Base,"",,,,,689.6
005-SIDGTK,Toyum,27.27027777777778,88.26027777777777,Base,"",,,,,653.45
005-SRDCBE,THENGUMARAHADA,11.572777777777777,76.91916666666667,Base,"",341.0,342.0,,,342.4
